Name,Price,Discounted_price,Rating,Link
One8 By Virat Kohli Blends Eau de toilette - Blanc Eau ...,Rs595,Rs385,4.2,/one8-virat-kohli-blends-eau-de-toilette-blanc-110-ml/p/itm055b8991f8ec8?pid=PERFMTHRU7KPUTK4&lid=LSTPERFMTHRU7KPUTK40RQPEP&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFMTHRU7KPUTK4.SEARCH&ssid=h7it48bcv40000001586874558138
Park Avenue Long Lasting Body Fragrance-Alexander Perfu...,Rs199,Rs138,4.1,/park-avenue-long-lasting-body-fragrance-alexander-perfume-150-ml/p/itmf3wgv5agahbh9?pid=PEREWM52YKAGGQFS&lid=LSTPEREWM52YKAGGQFSQVAQ3H&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREWM52YKAGGQFS.SEARCH&ssid=h7it48bcv40000001586874558138
AXE Signature Gold Dark Vanilla & Oud Wood Eau de Toile...,Rs450,Rs291,4.1,/axe-signature-gold-dark-vanilla-oud-wood-eau-de-toilette-80-ml/p/itmf3wgynj58edhh?pid=PEREMK3TEHYCVGBW&lid=LSTPEREMK3TEHYCVGBWCE2BNW&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREMK3TEHYCVGBW.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Black Code Perfume Eau de Parfum  -  60 ml,Rs249,Rs179,4.2,/denver-black-code-perfume-eau-de-parfum-60-ml/p/itmf3wj3gfkgxy3d?pid=PERFYQ3NNYEYYUKF&lid=LSTPERFYQ3NNYEYYUKF0LBCT4&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFYQ3NNYEYYUKF.SEARCH&ssid=h7it48bcv40000001586874558138
AXE Signature Gold Black Musk & Cedar Wood Perfume Eau ...,Rs450,Rs359,4.1,/axe-signature-gold-black-musk-cedar-wood-perfume-eau-de-toilette-80-ml/p/itmf3wgyt2nqnkpt?pid=PEREMK3TYMACQGCH&lid=LSTPEREMK3TYMACQGCHRD00LR&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREMK3TYMACQGCH.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Mens Raw Eau de Parfum  -  100 ml,Rs2,195,Rs1,760,4.3,/skinn-titan-mens-raw-eau-de-parfum-100-ml/p/itmf3wgxzsgfh4ju?pid=PERER27NNDJYEXZQ&lid=LSTPERER27NNDJYEXZQPKAJG4&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERER27NNDJYEXZQ.SEARCH&ssid=h7it48bcv40000001586874558138
Armaf Club De Nuit Intense 3.6 Oz Eau De Tolette Spray ...,Rs1,999,Rs1,620,4.1,/armaf-club-de-nuit-intense-3-6-oz-eau-tolette-spray-parfum-100-ml/p/itmf3wgz8pumedpf?pid=PEREVUPYPGZYNGYU&lid=LSTPEREVUPYPGZYNGYUS1DJLT&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PEREVUPYPGZYNGYU.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan extreme Eau de Parfum  -  100 ml,Rs2,195,Rs1,310,4.1,/skinn-titan-extreme-eau-de-parfum-100-ml/p/itmf3wgx9z3rhwsv?pid=PERER27NVTAB7ABY&lid=LSTPERER27NVTAB7ABYQCRE1T&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERER27NVTAB7ABY.SEARCH&ssid=h7it48bcv40000001586874558138
Denver Hamilton Perfume Eau de Parfum  -  60 ml,Rs299,Rs214,4.2,/denver-hamilton-perfume-eau-de-parfum-60-ml/p/itmf3wj3wqbwwndm?pid=PERFYQ37CMVXUWKK&lid=LSTPERFYQ37CMVXUWKKPC2J6C&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFYQ37CMVXUWKK.SEARCH&ssid=h7it48bcv40000001586874558138
Park Avenue 4X icon more Perfume Perfume  -  150 ml,Rs240,Rs167,4.1,/park-avenue-4x-icon-more-perfume-150-ml/p/itmf3wgvksup4wgz?pid=PERESSGV3D38VBHJ&lid=LSTPERESSGV3D38VBHJ7RSUDC&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERESSGV3D38VBHJ.SEARCH&ssid=h7it48bcv40000001586874558138
Jovan White Musk Eau de Cologne  -  88 ml,Rs749,Rs484,4,/jovan-white-musk-eau-de-cologne-88-ml/p/itmf3wgyxyzetucd?pid=PERD8E6DHDFDT4CQ&lid=LSTPERD8E6DHDFDT4CQJ5OEQ2&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERD8E6DHDFDT4CQ.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Verge & Raw Eau de Parfum  -  50 ml,Rs1,695,Rs1,349,4.6,/skinn-titan-verge-raw-eau-de-parfum-50-ml/p/itmdd2c1be4e24b3?pid=PERFKJBESFSUBBGX&lid=LSTPERFKJBESFSUBBGXIRJ2IP&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFKJBESFSUBBGX.SEARCH&ssid=h7it48bcv40000001586874558138
Tommy Hilfiger For Men Eau de Toilette  -  50 ml,Rs2,800,Rs1,392,4.2,/tommy-hilfiger-men-eau-de-toilette-50-ml/p/itmf3wgv4utthzke?pid=PERF3Y94YN4HZUWQ&lid=LSTPERF3Y94YN4HZUWQPMGAQF&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF3Y94YN4HZUWQ.SEARCH&ssid=h7it48bcv40000001586874558138
Riya Melody Perfume 100ML Eau de Parfum  -  100 ml,Rs285,Rs190,4.2,/riya-melody-perfume-100ml-eau-de-parfum-100-ml/p/itmf8ef6qzvfdyuj?pid=PERF8DMY2HGUTV9C&lid=LSTPERF8DMY2HGUTV9CW5CZCT&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF8DMY2HGUTV9C.SEARCH&ssid=h7it48bcv40000001586874558138
Armaf Club De Nuit Intense Mens Perfume Eau de Parfum  ...,Rs2,100,Rs1,630,4.1,/armaf-club-de-nuit-intense-mens-perfume-eau-parfum-105-ml/p/itmc245baa54afdb?pid=PERFGS3PFUWVPYHF&lid=LSTPERFGS3PFUWVPYHFOZUW57&marketplace=FLIPKART&srno=b_1_38&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERFGS3PFUWVPYHF.SEARCH&ssid=h7it48bcv40000001586874558138
OPP Magnet Handkerchief Eau de Parfum  -  100 ml,Rs240,Rs225,4.2,/opp-magnet-handkerchief-eau-de-parfum-100-ml/p/itmf3wgvq8vksmhk?pid=PERF35WSXMDNQZT2&lid=LSTPERF35WSXMDNQZT2DE6UML&marketplace=FLIPKART&srno=b_1_39&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERF35WSXMDNQZT2.SEARCH&ssid=h7it48bcv40000001586874558138
Skinn by Titan Verge - Single Pack Eau de Parfum  -  20...,Rs545,Rs525,4.2,/skinn-titan-verge-single-pack-eau-de-parfum-20-ml/p/itmf3wgxc34c77cr?pid=PERESHW8CCEV7JGD&lid=LSTPERESHW8CCEV7JGDLSVKYY&marketplace=FLIPKART&srno=b_1_40&otracker=browse&fm=organic&iid=0fc2fd55-3d20-43c5-b227-577d8adf11b8.PERESHW8CCEV7JGD.SEARCH&ssid=h7it48bcv40000001586874558138
